20200914, 196, 565446, 11667
20200915, 197, 557338, 11852
20200916, 198, 589012, 12116
20200917, 199, 601713, 12460
20200918, 200, 613658, 12656
20200919, 201, 622934, 12799
20200920, 202, 631365, 13053
20200921, 203, 640147, 13482
20200922, 204, 652174, 13952
20200923, 205, 664799, 14376
20200924, 206, 678266, 14766
20200925, 207, 691235, 15208
20200926, 208, 702484, 15543
20200927, 209, 711325, 15749
20200928, 210, 723132, 16113
20200929, 211, 736609, 16519
20200930, 212, 751001, 16937
20201001, 213, 765002, 20288
20201002, 214, 779689, 20599
20201003, 215, 790818, 20795
20201004, 216, 798486, 21018
20201005, 217, 809728, 21468
20201006, 218, 824869, 21827
20201007, 219, 840915, 22226
20201008, 220, 856369, 22710
20201009, 221, 871478, 23225
20201010, 222, 883882, 23581
20201011, 223, 894206, 23868
20201012, 224, 903730, 24186
20201013, 225, 917035, 24572
20201014, 226, 931967, 24921
20201015, 227, 949063, 25342
20201016, 228, 965609, 25723
20201017, 229, 979119, 26107
20201018, 230, 989680, 26267
20201019, 231, 1002662, 26716
20201020, 232, 1018999, 27100
20201021, 233, 1037325, 27519
20201022, 234, 1053650, 27967
20201023, 235, 1069368, 28338
20201024, 236, 1081336, 28613
20201025, 237, 1090589, 28896
20201026, 238, 1102301, 29301
20201027, 239, 1116609, 29730
20201028, 240, 1130533, 30071
20201029, 241, 1143800, 30442
20201030, 242, 1157179, 30792
20201031, 243, 1166924, 31002
